NÚMERO DE TICKET;ITEM;IDESTILO;ESTILO;FECHA DE VENTA;CANTIDAD;IDTAMAÑO;TAMAÑO;PRECIO DE LISTA;PRECIO DE VENTA;COSTO UNITARIO;TIPO DE CALZADO;IDLOCAL;LOCAL;TIPO DE LOCAL;IDCIUDAD;CIUDAD;ESTADO;PAÍS;MONTO VENDIDO;COSTO DE VENTA;UTILIDAD
10004;1;D006;COLORFUL SPRING;01/01/2020;1;20M;20 Y MEDIO; $1.440,00 ; $1.440,00 ; $380,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.440,00 ; $380,00 ; $1.060,00 
10005;1;D006;COLORFUL SPRING;01/01/2020;1;19N;19 NORMAL; $1.440,00 ; $1.440,00 ; $380,00 ;DAMA;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.440,00 ; $380,00 ; $1.060,00 
10012;1;D005;SERENA STORM;01/01/2020;1;20N;20 NORMAL; $2.033,00 ; $2.033,00 ; $459,00 ;DAMA;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $2.033,00 ; $459,00 ; $1.574,00 
10013;1;C003;CONFORT NEW YORK;01/01/2020;1;24N;24 NORMAL; $1.681,00 ; $1.681,00 ; $396,00 ;CABALLERO;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.681,00 ; $396,00 ; $1.285,00 
10015;1;D005;SERENA STORM;01/01/2020;1;25N;25 NORMAL; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
10016;1;C002;CONFORT MILAN;01/01/2020;1;18N;18 NORMAL; $1.844,00 ; $1.844,00 ; $420,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.844,00 ; $420,00 ; $1.424,00 
10019;1;D004;PANAMA;01/01/2020;1;24M;24 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
10019;2;U002;MINIMAL ECHO;01/01/2020;1;29M;29 Y MEDIO; $1.069,00 ; $972,00 ; $460,00 ;UNISEX;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $972,00 ; $460,00 ; $512,00 
10026;1;D001;SPLEND MARNA;01/01/2020;1;20N;20 NORMAL; $1.361,00 ; $1.361,00 ; $397,00 ;DAMA;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.361,00 ; $397,00 ; $964,00 
10035;1;S002;CITUAN;02/01/2020;1;24M;24 Y MEDIO; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $2.030,00 ; $394,00 ; $1.636,00 
